Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Firefox 66.0,,,2019-05-21 20:28:16,2019-05-21 20:28:50,34.153s,INCOMPLETE
,,,,,,,
Test Cases/Day2/Test2,Firefox 66.0,,,2019-05-21 20:28:16,2019-05-21 20:28:50,33.952s,FAILED
"openBrowser("""")",Firefox 66.0,,,2019-05-21 20:28:17,2019-05-21 20:28:24,7.334s,PASSED
navigateToUrl(URL),Firefox 66.0,,,2019-05-21 20:28:24,2019-05-21 20:28:26,1.629s,PASSED
"click(findTestObject(""Object Repository/Day2/Page_OrangeHRM/span_Username""))",Firefox 66.0,,,2019-05-21 20:28:26,2019-05-21 20:28:26,0.340s,PASSED
"setText(findTestObject(""Object Repository/Day2/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), USERNAME)",Firefox 66.0,,,2019-05-21 20:28:26,2019-05-21 20:28:26,0.067s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Day2/Page_OrangeHRM/input_Username_txtPassword""), PASSWORD)",Firefox 66.0,,,2019-05-21 20:28:26,2019-05-21 20:28:26,0.137s,PASSED
"click(findTestObject(""Object Repository/Day2/Page_OrangeHRM/input_Password_Submit""))",Firefox 66.0,,,2019-05-21 20:28:26,2019-05-21 20:28:27,0.846s,PASSED
"click(findTestObject(""Object Repository/Day2/Page_OrangeHRM/b_Recruitment""))",Firefox 66.0,,,2019-05-21 20:28:27,2019-05-21 20:28:28,0.742s,PASSED
"click(findTestObject(""Object Repository/Day2/Page_OrangeHRM/b_Dashboard""))",Firefox 66.0,,,2019-05-21 20:28:28,2019-05-21 20:28:28,0.266s,PASSED
"click(findTestObject(""Object Repository/Day2/Page_OrangeHRM/a_Welcome Admin""))",Firefox 66.0,,,2019-05-21 20:28:28,2019-05-21 20:28:28,0.256s,PASSED
"waitForElementPresent(findTestObject(""Day2/Page_OrangeHRM/a_Logout""), 5)",Firefox 66.0,,,2019-05-21 20:28:28,2019-05-21 20:28:29,0.024s,PASSED
"click(findTestObject(""Object Repository/Day2/Page_OrangeHRM/a_Logout""))",Firefox 66.0,,,2019-05-21 20:28:29,2019-05-21 20:28:29,0.280s,PASSED
"click(findTestObject(""Day2/Page_OrangeHRM/b_Dashboard""))",Firefox 66.0,,,2019-05-21 20:28:29,2019-05-21 20:28:50,21.299s,FAILED
